	loss	arch	us	ds	us_epochs	us_lr	us_bs	us_wd	ds_epochs	ds_lr	ds_bs	ds_wd	zero	1	5	10	20	full	100	200
129	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	1E-05	32	0.1	2.819	3.191	14.521	27.021	41.436	53.457		
130	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	1E-05	64	0.1	2.819	3.245	10	21.117	36.117	50.16		
131	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	1E-05	128	0.1	2.819	3.245	3.617	13.138	28.245	43.67		
132	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	3E-05	32	0.1	2.819	5.372	29.202	40.904	50.851	60.16		
133	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	3E-05	64	0.1	2.819	3.245	25.585	37.5	48.617	59.362		
134	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	3E-05	128	0.1	2.819	3.245	10.372	33.83	46.649	57.553		
135	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	0.0001	32	0.1	2.819	11.064	34.734	45.16	54.149	62.766		
136	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	0.0001	64	0.1	2.819	5.851	33.511	43.777	53.404	62.34		
137	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	128	0.0001	128	0.1	2.819	5.745	27.34	41.596	52.234	60.957		
138	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	32	0.1	8.19	12.3	14.35	19.42	25.81	66.9		
139	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	64	0.1	8.19	12.01	13.64	16.88	22.52	63.52		
140	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	128	0.1	8.19	12.08	12.23	15.15	18.99	60.04		
141	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	32	0.1	8.19	12.31	20.68	28.79	37.76	75.66		
142	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	64	0.1	8.19	12.03	18.08	25.51	34.21	73.54		
143	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	128	0.1	8.19	12.09	13.35	22.25	30.14	70.83		
144	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	0.0001	32	0.1	8.19	12.38	27.38	36.29	45.31	80.76		
145	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	0.0001	64	0.1	8.19	12.04	24.62	34.59	44.04	79.54		
146	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	64	0.0001	128	0.1	8.19	12.14	18.97	30.87	41.59	77.67		
147	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	1E-05	32	0.1	8.19	12.3	17.76	25.4	33.77	73.39		
148	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	1E-05	64	0.1	8.19	12.01	16.6	21.92	30.34	70.75		
149	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	1E-05	128	0.1	8.19	12.08	14.42	18.66	26.06	67.3		
150	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	3E-05	32	0.1	8.19	13.47	25.68	34.15	43.73	79.26		
151	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	3E-05	64	0.1	8.19	12.03	23.37	31.38	40.92	77.75		
152	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	3E-05	128	0.1	8.19	12.09	19.91	28.79	38.08	75.53		
153	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	0.0001	32	0.1	8.19	14.27	29.01	38.28	46.99	82.76		
154	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	0.0001	64	0.1	8.19	13.28	28.04	36.8	46.43	81.03		
155	CLIP	RN50	YFCC2.7m	CIFAR100	16	0.001	1024	0.1	128	0.0001	128	0.1	8.19	12.21	26.13	35.09	45.14	79.79		
